ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese
1,sky,1732,SKY,天
2,sun,1343,SUN,太阳
3,moon,1313,MOON,月亮
4,star,1430,STAR,星星
5,cloud,1489,CLOUD,云
6,wind,960,WIND,风
7,rain,658,RAIN (PRECIPITATION),雨
8,lightning (vb),2377,FLASH (VERB),闪电
9,thunder (vb),2378,THUNDER (VERB),打雷
10,hail,609,HAIL,冰雹
11,snow,784,SNOW,雪
12,frost,2034,FROST,霜
13,fog,249,FOG,雾
14,water,948,WATER,水
15,river,666,RIVER,河
16,lake,624,LAKE,湖
17,pond,2035,POND,水塘
18,wet field,140,PADDY FIELD,水田
19,meadow,,,旱地
20,earth,2159,GROUND,地
21,soil,1228,EARTH (SOIL),土
22,mountain,639,MOUNTAIN,山
23,stone,857,STONE,石头
24,fire,221,FIRE,火
25,in front,1883,IN FRONT OF,前面
26,behind,1686,BEHIND,后面
27,left (side),244,LEFT,左边
28,right (side),1019,RIGHT,右边
29,inside,1606,INSIDE,里边
30,outside,762,OUTSIDE,外边
31,year,1226,YEAR,年、岁
32,this year,513,THIS YEAR,今年
33,last year,514,LAST YEAR,去年
34,month,1370,MONTH,月(月份）
35,first month (lunar),2036,JANUARY,正月
36,second month,2037,FEBRUARY,二月
37,day,1260,DAY (24 HOURS),天（日子）
38,today,1283,TODAY,今天
39,yesterday,1174,YESTERDAY,昨天
40,day before yesterday,1180,DAY BEFORE YESTERDAY,前天
41,tomorrow,1329,TOMORROW,明天
42,day after tomorrow,1179,DAY AFTER TOMORROW,后天
43,morning,1339,MORNING,早晨
44,noon,12,MIDDAY,中午
45,now,1376,NOW,现在
46,cow,1007,COW,牛
47,horse,615,HORSE,马
48,pig,1337,PIG,猪
49,sheep,1331,SHEEP,绵羊
50,dog,2009,DOG,狗
51,cat,1208,CAT,猫
52,"hare,rabbit",1136,RABBIT,兔
53,dragon,2038,DRAGON,龙
54,tiger,846,TIGER,虎
55,bear,1820,BEAR,熊
56,monkey,1350,MONKEY,猴子
57,wolf,522,WOLF,狼
58,mouse,1491,MOUSE,老鼠
59,chicken,1318,CHICKEN,鸡
60,turtledove,1853,DOVE,斑鸠
61,bird,937,BIRD,鸟
62,eagle,1905,EAGLE,老鹰
63,crow,913,CROW,乌鸦
64,magpie,2039,MAGPIE,喜鹊
65,swallow,897,SWALLOW,燕子
66,sparrow,1854,SPARROW,麻雀
67,bat,1793,BAT,蝙蝠
68,frog,503,FROG,青蛙
69,fish,227,FISH,鱼
70,snake,730,SNAKE,蛇
71,bee,665,BEE,蜜蜂
72,butterfly,1791,BUTTERFLY,蝴蝶
73,locust,810,LOCUST,蚂蚱
74,ant,587,ANT,蚂蚁
75,spider,843,SPIDER,蜘蛛
76,bedbug,1949,BEDBUG,臭虫
77,flea,232,FLEA,跳蚤
78,louse,1392,LOUSE,虱子
79,fly (insect),1504,FLY (INSECT),苍蝇
80,mosquito,1509,MOSQUITO,蚊子
81,earthworm,2350,EARTHWORM,蚯蚓
82,leech,2273,LEECH,水蛭
83,"insect,bug",1027,BUG,虫
84,egg,744,EGG,蛋
85,wing (bird),1257,WING,翅膀
86,"feather,hair",1201,FEATHER,毛
87,horn,1393,HORN (ANATOMY),角
88,tail,1220,TAIL,尾巴
89,tree,906,TREE,树
90,pine tree,1740,PINE,松树
91,willow,818,WILLOW,柳树
92,bamboo,1927,BAMBOO,竹子
93,paddy field,2026,RICE PLANT,水稻
94,"corn,maize",506,MAIZE,玉米
95,barley,932,BARLEY,大麦
96,buckwheat,2040,BUCKWHEAT,荞
97,taro,351,TARO,芋头
98,cotton,1850,COTTON,棉花
99,hemp,2041,HEMP,麻
100,bean,832,BEAN,豆子
101,pea,2025,PEA,豌豆
102,soybean,2027,SOYA,黄豆
103,pumpkin,864,PUMPKIN,南瓜
104,cucumber,496,CUCUMBER,黄瓜
105,vegetable,924,VEGETABLES,菜
106,chilli pepper,919,CHILI PEPPER,辣子
107,pepper,1385,PEPPER,花椒
108,walnut,2042,WALNUT,核桃
109,peach,2043,PEACH,桃子
110,pear,922,PEAR,梨子
111,persimmon,2044,PERSIMMON,柿子
112,grass,606,GRASS,草
113,mushroom,641,MUSHROOM,菌子
114,seed,714,SEED,种子
115,root,670,ROOT,根
116,leaf,628,LEAF,叶
117,"shoot,sprout",1172,SHOOT,芽
118,flower,239,FLOWER,花
119,fruit,1507,FRUIT,果
120,"pit,stone",1762,STONE (OF FRUIT),核
121,"peel,husk",275,PEEL,皮
122,thorn,124,THORN,刺
123,body,1480,BODY,身体
124,head,1256,HEAD,头
125,hair,1040,HAIR,头发
126,face,1560,FACE,脸
127,eye,1248,EYE,眼
128,nose,1221,NOSE,鼻子
129,ear,1247,EAR,耳朵
130,mouth,674,MOUTH,嘴
131,tooth,1380,TOOTH,牙
132,tongue,1205,TONGUE,舌头
133,"beard,moustache",1165,MOUSTACHE,胡子
134,neck,1333,NECK,脖子
135,hand,1277,HAND,手
136,finger,1303,FINGER,手指
137,fingernail,1258,FINGERNAIL,指甲
138,breast,1402,BREAST,乳房
139,"belly,stomach",1251,BELLY,肚子
140,navel,1838,NAVEL,肚脐
141,waist,1681,WAIST,腰
142,foot,1301,FOOT,脚
143,knee,1371,KNEE,膝盖
144,bone,1394,BONE,骨头
145,blood,946,BLOOD,血
146,kidney,489,KIDNEY,肾脏
147,"intestine,gut",1991,INTESTINES,肠子
148,stomach,819,STOMACH,胃
149,heart,1223,HEART,心
150,liver,1224,LIVER,肝
151,lung,688,LUNG,肺
152,sweat,2458,PERSPIRE OR SWEAT,汗
153,faeces,675,FAECES (EXCREMENT),屎
154,urine,1142,URINE,尿
155,person,683,PERSON,人
156,woman,962,WOMAN,女人
157,old person,725,OLD PERSON,老人
158,child,1801,CHILD (DESCENDANT),儿童
159,ancestor,1669,ANCESTORS,祖宗
160,grandfather,1383,GRANDFATHER,祖父
161,grandmother,1496,GRANDMOTHER,祖母
162,father,1217,FATHER,父亲
163,mother,1216,MOTHER,母亲
164,wife,1199,WIFE,妻子
165,son,1620,SON,儿子
166,daughter,1357,DAUGHTER,女儿
167,family,194,FAMILY,家
168,house,1252,HOUSE,房
169,village,930,VILLAGE,村子
170,market,633,MARKET,街子
171,road,667,ROAD,路
172,bridge,1011,BRIDGE,桥
173,wall,933,WALL (OF HOUSE),墙
174,"pillar,column",2045,COLUMN,柱子
175,door (cattle),1567,DOOR,门
176,stall,851,STABLE,圈（牛圈）
177,clothing,1895,CLOTHES,衣服
178,trousers,809,TROUSERS,裤
179,apron,2046,APRON,围腰
180,"turban,headdress",331,HEADDRESS,包头
181,"cap,hat",771,HAT,帽子
182,earring,770,EARRING,耳环
183,bracelet,1754,BRACELET,手镯
184,bamboo hat,2160,BAMBOO HAT,斗笠
185,palm bark rain cape,,,蓑衣
186,shoe,1381,SHOE,鞋
187,straw sandal,2047,STRAW SANDAL,草鞋
188,straw mat,195,MAT,草席
189,quilt,2048,QUILT,被子
190,cloth,1616,CLOTH,布
191,hemp cloth,2161,HEMP CLOTH,麻布
192,uncooked rice,3289,UNCOOKED RICE,米
193,cooked rice,1191,COOKED RICE,饭
194,congee,2049,CONGEE,稀饭
195,breakfast,1322,BREAKFAST,早饭
196,lunch,768,LUNCH,午饭
197,dinner (evening meal),1833,DINNER (SUPPER),晚饭
198,animal oil,1282,FAT (FROM ANIMALS),动物油(脂肪)
199,vegetable oil,2555,OIL (FROM PLANTS),植物油
200,salt,1274,SALT,盐
201,meat,634,MEAT,肉
202,cooked food,256,FOOD,菜（熟菜）
203,soup,1547,SOUP,汤
204,alcohol (drink),404,ALCOHOL (FERMENTED DRINK),酒
205,tea (drink),1373,TEA,茶
206,brown sugar,862,SUGAR,红糖
207,knife,1352,KNIFE,刀
208,hoe,284,HOE,锄头
209,plough (implement),2154,PLOUGH (INSTRUMENT),犁
210,"mill,grind",636,MILL,磨
211,sieve,86,SIEVE,筛子
212,broom,245,BROOM,扫帚
213,dustpan,2051,DUSTPAN,簸箕
214,bucket,2052,BUCKET,桶
215,basin,915,SINK (BASIN),盆
216,small bowl,2053,SMALL BOWL,小碗
217,chopstick,1987,CHOPSTICKS,筷子
218,clay pot,2055,CLAY POT,土罐
219,bottle,1321,BOTTLE,瓶子
220,wok,2056,WOK,锅（扁锅）
221,stove,859,STOVE,灶
222,firewood,10,FIREWOOD,柴
223,"animal faeces,dung",2057,DUNG (ANIMAL FAECES),粪
224,table,1775,TABLE,桌子
225,"stool,low chair",2058,STOOL,凳子
226,bed,1663,BED,床
227,stairs,34,STAIRS,楼梯
228,ladder,1464,LADDER,木梯
229,lock,1596,LOCK,锁
230,key,1472,KEY,钥匙
231,mirror,1171,MIRROR,镜子
232,comb,1475,COMB,梳子
233,scissors,356,SHEARS,剪刀
234,paper,648,PAPER,纸
235,pen,794,PEN,笔
236,book,963,BOOK,书本
237,folk song,2059,FOLK SONG,民歌
238,dance,1879,DANCE,舞蹈
239,story,2060,STORY,故事
240,"word,speech",1115,SPEECH,话
241,"sound,voice",1811,SOUND OR NOISE,声音
242,name,1405,NAME,名字
243,thing,738,THING,东西
244,matter,2150,MATTER,事情
245,"deity,spirit",3231,DEITY,神
246,ghost,1175,GHOST,鬼
247,Buddha,2061,BUDDHA,佛
248,soul,811,SOUL,魂
249,strength,202,STRENGTH,力气
250,money,1559,MONEY,钱
251,"price,cost",242,COST,价钱
252,interest,2062,INTEREST,利息
253,"salary,pay",718,PAY,工钱
254,medicine,1372,MEDICINE,药
255,look,1819,LOOK,看
256,see,1409,SEE,见
257,close (eyes),2063,CLOSE (EYES),闭（眼）
258,listen,1608,LISTEN,听
259,smell (vb),1587,SMELL (STINK),臭、闻
260,eat,1336,EAT,吃
261,drink,1401,DRINK,喝
262,bite,1403,BITE,咬
263,chew,321,CHEW,嚼
264,spit,1440,SPIT,吐（痰）
265,vomit,1278,VOMIT,呕吐
266,blow,175,BLOW (OF WIND),吹
267,read,724,READ,读
268,shout,715,SHOUT,喊
269,hold,1448,HOLD,拿
270,hit (table),3309,STRIKE (SOMETHING),拍（桌子）
271,pick (fruit),2148,PICK,摘（果子）
272,twist (rope),3236,TWIST (TOGETHER),搓（绳子）
273,pick up from ground (grain),371,PICK UP,拾（谷子）
274,scatter (seeds),2064,SCATTER (SEEDS),播（种）
275,pull,1455,PULL,拉
276,push,1452,PUSH,推
277,kick,1135,KICK,踢
278,kneel,66,KNEEL,跪
279,step on,2065,STEP (VERB),踩
280,ride,367,RIDE,骑
281,walk,1443,WALK,走
282,sit,1416,SIT,坐
283,carry (thing) on back,465,CARRY ON BACK,背（物）
284,carry person on back,2153,CARRY PERSON ON BACK,背（人）
285,fall down,1280,FALL,跌倒
286,climb,1102,CLIMB,爬
287,rest,168,REST,休息
288,sleep,1585,SLEEP,睡
289,wake up,1602,WAKE UP,醒
290,do (work),813,DO,做（活）
291,labour,984,WORK (LABOUR),劳动
292,plough (field),1921,PLOUGH,犁（田）
293,plant (seed),1486,PLANT (SOMETHING),栽种
294,"cut,reap",1432,CUT,割
295,chop (firewood),3151,CUT (WITH AXE),砍（柴）
296,pull up (rice seedlings),2066,PULL UP (RICE SEEDLINGS),拔（秧）
297,put out to pasture,2031,PUT OUT TO PASTURE,放牧
298,feed (fatten up),739,FEED,喂（催膘）
299,lead (cow),43,LEAD (GUIDE),牵（牛）
300,weave (cloth),133,WEAVE,织（布）
301,buy,1869,BUY,买
302,sell,1571,SELL,卖
303,call (name),180,CALL BY NAME,称
304,teach,709,TEACH,教
305,write,1672,WRITE,写
306,"stick,glue",254,STICKING,贴
307,steam (yams),2067,STEAM (VERB),煮（洋芋）
308,stir-fry,991,FRY,炒
309,shallow fry,2162,STIR FRY,煎
310,braise,2068,BRAISE (VERB),蒸
311,soak (seeds),2069,SOAK (VERB),浸（种）
312,boil (water),792,BOIL (OF LIQUID),沸（水开）
313,cut (with knife),2156,CUT (WITH KNIFE),切
314,chop,2149,CHOP (INTO PIECES),剁
315,cut (with scissors),2155,CUT (WITH SCISSORS),剪
316,grind (wheat),1033,GRIND,磨（面）
317,wear (hat),976,WEAR,戴（帽）
318,hang out (clothes),357,HANG UP,晾（衣）
319,dry (sthg) in sun,1786,DRY UP,晒
320,wash,1453,WASH,洗
321,shave (head),231,SHAVE,剃（头）
322,comb (hair),2070,COMB (VERB),梳（头）
323,sweep,230,SWEEP,扫（地）
324,open (door),1156,OPEN,开（门）
325,lay aside,2071,LAY (VERB),放置
326,hide,2486,HIDE,藏
327,pile up,1576,PILE UP,堆（放）
328,light (lamp),737,LIGHT (IGNITE),点（灯）
329,receive,694,GET,收
330,lose (can't find),1660,LOSE,遗失
331,look for,1468,LOOK FOR,寻找
332,use,2072,USE (VERB),用（使用）
333,play,1413,PLAY,玩耍
334,ask,1309,ASK (INQUIRE),问
335,answer,1275,ANSWER,答
336,tell,1711,TELL,告诉
337,quarrel,1848,QUARREL,骂架
338,help,1897,HELP,帮助
339,meet,1831,MEET,遇见
340,flee,956,FLEE,逃
341,chase,1435,HUNT,追
342,rob,2073,ROB (VERB),抢
343,steal,713,STEAL,偷
344,"deceive,cheat",1902,BETRAY,骗
345,angry,1826,ANGRY,生气
346,hate,1607,HATE,恨
347,fear,1419,FEAR (BE AFRAID),怕
348,laugh,1355,LAUGH,笑
349,cry,1839,CRY,哭
350,love,923,LOVE,爱
351,like,1117,LIKE,喜欢
352,believe,1890,BELIEVE,相信
353,know,1410,KNOW (SOMETHING),知道
354,guess,1932,GUESS,猜
355,remember,707,REMEMBER,记得
356,forget,1523,FORGET,忘记
357,think,2271,THINK,想
358,want,1784,WANT,要
359,must,971,MUST,得
360,able to,972,BE ABLE,会
361,is,1579,BE,是
362,there is,2152,THERE IS OR THERE ARE,有
363,come,1446,COME,来
364,go,695,GO,去
365,return,581,COME BACK,回
366,to (reach),1387,ARRIVE,到
367,up (mountain),705,GO UP (ASCEND),上（山）
368,down (mountain),2014,GO DOWN (DESCEND),下（山）
369,go out,1107,GO OUT,出（出去）
370,go in,749,ENTER,进（进来）
371,"drop,fall",750,DROP,掉
372,"snap,break in two",2558,BREAK (CLEAVE),断
373,"break,cleave",680,BREAK (DESTROY OR GET DESTROYED),破
374,marry (of woman),2163,MARRY (AS WOMAN),嫁
375,marry (of man),2164,MARRY (AS MAN),娶
376,give birth,1195,GIVE BIRTH,分娩
377,grow (of people),552,GROW UP,长（长大）
378,"be sick,ill",1847,SICK,病
379,shiver,52,SHIVER,发抖
380,swell,1573,SWELL,肿
381,die,1494,DIE,死
382,bark (of dog),1206,BARKING,吠
383,crow (noise of cock),2074,CROW (VERB),啼(鸡鸣)
384,incubate,2075,BROOD (VERB),孵
385,sprout (vb),2076,SPROUT (VERB),发(芽)
386,big,1202,BIG,大
387,small,1246,SMALL,小
388,"high,tall",711,TALL,高
389,low,721,LOW,底
390,long,1203,LONG,长
391,short,1645,SHORT,短
392,"thick,coarse",2151,COARSE,粗
393,"fine,thin",2157,FINE OR THIN,细
394,thick,1244,THICK,厚
395,"thin,flimsy",2306,THIN (OF LEAF AND CLOTH),薄
396,far,1406,FAR,远
397,near,1942,NEAR,近
398,"much,many",1198,MANY,多
399,few,1242,FEW,少
400,straight,1404,STRAIGHT,直
401,light (not heavy),1052,LIGHT (WEIGHT),轻
402,heavy,1210,HEAVY,重
403,hard,1884,HARD,硬
404,"light,bright",679,BRIGHT,亮
405,dark,706,DARK,暗
406,red,156,RED,红
407,yellow,1424,YELLOW,黄
408,blue,837,BLUE,蓝
409,white,1335,WHITE,白
410,black,163,BLACK,黑
411,green,1425,GREEN,绿
412,full,1429,FULL,满
413,fat (pig),1279,FAT (OBESE),肥(猪)
414,clean,704,CLEAN,干净
416,good,1035,GOOD,好
417,bad,1292,BAD,坏
418,slow,701,SLOW,慢
419,dry,1398,DRY,干
420,wet,1726,WET,湿
421,new,1231,NEW,新
422,old,2113,OLD (USED),旧
423,raw,1959,RAW,生
424,cooked,269,COOKED,熟
425,sharp (knife),1396,SHARP,快(刀)
426,blunt (knife),379,BLUNT,钝(刀)
427,early,672,EARLY,早
428,late,425,BE LATE,迟
429,expensive,1426,EXPENSIVE,贵
430,cheap,1887,CHEAP,便宜
431,easy,686,EASY,容易
432,difficult,584,DIFFICULT,难
433,hot,1286,HOT,热
434,cold,1287,COLD,冷
435,warm,1232,WARM,暖和
436,sour,1906,SOUR,酸
437,sweet,717,SWEET,甜
438,bitter,887,BITTER,苦
439,hot (spicy),544,SPICY,辣
440,salty,1091,SALTY,咸
441,fragrant,376,FRAGRANT,香
442,smelly,42,STINKING,臭
443,thirsty,847,THIRSTY,渴
444,tired,1757,TIRED,累
445,painful,1129,PAINFUL,痛
446,diligent,2077,DILIGENT,勤
447,lazy,1564,LAZY,懒
448,poor,1674,POOR,穷
449,rich,712,RICH,富
450,one,1493,ONE,一
451,two,1498,TWO,二
452,three,492,THREE,三
453,four,1500,FOUR,四
454,five,493,FIVE,五
455,six,1703,SIX,六
456,seven,1704,SEVEN,七
457,eight,1705,EIGHT,八
458,nine,1483,NINE,九
459,ten,1515,TEN,十
460,one hundred,1634,HUNDRED,一百
461,one thousand,1843,THOUSAND,一千
462,ten thousand,2078,TEN THOUSAND,一万
463,CLS for person,516,PERSON (CLASSIFIER),个（人）
464,CLS for bowl,2080,BOWL (CLASSIFIER),个（碗）
465,CLS for chicken,2081,CHICKEN (CLASSIFIER),只（鸡）
466,CLS for knife,2082,KNIFE (CLASSIFIER),把（刀）
467,CLS for axe,2083,AXE (CLASSIFIER),把（斧头）
468,CLS for rope,2084,ROPE (CLASSIFIER),条（绳子）
469,CLS for stick,2085,STICK (CLASSIFIER),根（棍）
470,CLS for grain of rice,2086,GRAIN (CLASSIFIER),粒（米）
471,CLS for drop of water,2087,DROP (CLASSIFIER),滴（水）
472,CLS for clothing,2088,CLOTHING (CLASSIFIER),件（衣）
473,CLS for pair of shoes,2089,PAIR (CLASSIFIER),双（鞋）
474,I(1 p.s.),1209,I,我
475,we (1 p.p.),1212,WE,我们
476,we (inclusive),1131,WE (INCLUSIVE),咱们
477,you (2 p.s.),1215,THOU,你
478,you (2 p.p.),1213,YOU,你们
479,"he,she,it (3 p.s.)",262,HE OR SHE OR IT,他
480,they (3 p.p.),817,THEY,他们
481,my,2090,MY,我（的）
482,your (sg),732,YOUR (SINGULAR),你（的）
483,his/her,2092,HIS OR HER,他（的）
484,this,1214,THIS,这
485,here,136,HERE,这里
486,that,78,THAT,那
487,there,1937,THERE,那里
488,who,1235,WHO,谁
489,what,1236,WHAT,什么
490,where,1237,WHERE,哪里
491,how,1239,HOW,怎样
492,how many,822,HOW MANY,多少
493,just now,84,JUST,刚才
494,first,728,FIRST,先
495,afterwards,2093,AFTERWARDS,后
496,slowly,701,SLOW,慢慢
497,quickly,1631,FAST,快快
498,very,1311,VERY,很
499,all,98,ALL,都
500,again,204,AGAIN,再
